Aspect,Start Date,End Date,Duration (Weeks)
Saturn-Pluto Square,1907-03-04,2045-09-25,457
Saturn-Pluto Opposition,1931-01-12,2037-06-08,199
Mars-Pluto Square,1900-03-19,2050-02-07,452
Mars-Pluto Opposition,1901-11-04,2049-09-20,204
Mars-Saturn Square,1900-04-09,2049-11-29,399
Mars-Saturn Opposition,1900-08-06,2049-07-12,225
