Date,Mars Longitude,Saturn Longitude,Pluto Longitude,Mars-Saturn Angle,Mars-Pluto Angle,Saturn-Pluto Angle,Saturn-Pluto Square,Saturn-Pluto Opposition,Mars-Pluto Square,Mars-Pluto Opposition,Mars-Saturn Square,Mars-Saturn Opposition
1922-02-20,240.9210887859238,186.59940660412695,98.11350891927098,54.32168218179686,142.80757986665282,88.48589768485597,True,False,False,False,False,False
1922-02-27,244.37675567773894,186.17935107404813,98.04268078110795,58.19740460369081,146.334074896631,88.13667029294018,True,False,False,False,False,False
1922-03-06,247.6867655783066,185.7074087947363,97.98931566282687,61.979356783570296,149.69744991547972,87.71809313190943,True,False,False,False,False,False
1922-03-13,250.83021704659822,185.19687735039972,97.95451538717437,65.6333396961985,152.87570165942384,87.24236196322535,True,False,False,False,False,False
1922-03-20,253.78158398835214,184.66097888354756,97.93857190788023,69.12060510480458,155.8430120804719,86.72240697566733,True,False,False,False,False,False
1922-03-27,256.50269173123013,184.11365259921686,97.94189532508749,72.38903913201327,158.56079640614263,86.17175727412938,True,False,False,False,False,False
1922-04-03,258.9501269963667,183.5699302672689,97.96458774082308,75.3801967290978,160.9855392555436,85.60534252644581,True,False,False,False,False,False
1922-04-10,261.08025430879263,183.0447814258899,98.00639748999009,78.03547288290272,163.07385681880254,85.03838393589982,True,False,False,False,False,False
1922-04-17,262.84310960058497,182.55135717742988,98.06661355395428,80.29175242315509,164.77649604663068,84.4847436234756,False,False,False,False,False,False
1922-04-24,264.1724454312325,182.10155010119547,98.1444498494956,82.07089533003705,166.02799558173692,83.95710025169987,False,False,False,False,False,False
1922-05-01,265.0003036159717,181.7068412098203,98.23911893872118,83.29346240615138,166.76118467725053,83.46772227109913,False,False,False,False,False,False
1922-05-08,265.2717948630181,181.37676923294515,98.34929871518979,83.89502563007295,166.92249614782833,83.02747051775536,False,False,False,False,False,False
1922-05-15,264.9475912844733,181.11825012400578,98.47361259450714,83.8293411604675,166.47397868996615,82.64463752949864,False,False,False,False,False,False
1922-05-22,264.0064007707965,180.93619226956238,98.61044502837126,83.07020850123413,165.39595574242526,82.32574724119112,False,False,False,False,False,False
1922-05-29,262.48470960635433,180.83495715198237,98.7584811369056,81.64975245437196,163.72622846944873,82.07647601507676,False,False,False,False,False,False
1922-06-05,260.50572355743003,180.8166470428244,98.91571320769573,79.68907651460563,161.5900103497343,81.90093383512867,False,False,False,False,False,False
1922-06-12,258.2651376167412,180.8814008854388,99.08045130473118,77.38373673130238,159.18468631201,81.80094958070762,False,False,False,False,False,False
1922-06-19,255.99669132188905,181.0278442761588,99.25062374501034,74.96884704573026,156.74606757687872,81.77722053114844,False,False,False,False,False,False
1922-06-26,253.95620582266656,181.25483595468756,99.42470971742593,72.701369867979,154.53149610524065,81.83012623726164,False,False,False,False,False,False
1922-07-03,252.37564668777114,181.5594361653648,99.60031540377294,70.81621052240635,152.77533128399818,81.95912076159185,False,False,False,False,False,False
1922-07-10,251.4046946829517,181.93777495917578,99.7757798447897,69.46691972377593,151.62891483816202,82.16199511438609,False,False,False,False,False,False
1922-07-17,251.1034184245896,182.38514858755264,99.94885887319535,68.71826983703696,151.15455955139424,82.43628971435729,False,False,False,False,False,False
1922-07-24,251.48138014655888,182.8977760007901,100.11805485800822,68.58360414576879,151.36332528855064,82.77972114278187,False,False,False,False,False,False
1922-07-31,252.51355390192265,183.47045199457673,100.28098042695304,69.04310190734591,152.23257347496963,83.1894715676237,False,False,False,False,False,False
1922-08-07,254.14031552809973,184.09771729354316,100.43607315022929,70.04259823455658,153.70424237787046,83.66164414331386,False,False,False,False,False,False
1922-08-14,256.28684426093963,184.7736727056947,100.58126569160677,71.51317155524492,155.70557856933286,84.19240701408793,False,False,False,False,False,False
1922-08-21,258.8894631150077,185.49363119983138,100.71533142450207,73.3958319151763,158.17413169050562,84.77829977532932,False,False,False,False,False,False
1922-08-28,261.89432456440437,186.251604436368,100.83615183841123,75.64272012803636,161.05817272599313,85.41545259795679,True,False,False,False,False,False
1922-09-04,265.24527226673086,187.0416189167892,100.9425796853595,78.20365334994167,164.30269258137136,86.09903923142969,True,False,False,False,False,False
1922-09-11,268.88780430426266,187.8574259977056,101.03303167210693,81.03037830655705,167.85477263215574,86.82439432559867,True,False,False,False,False,False
1922-09-18,272.7820030838655,188.6939840251754,101.10682276160374,84.0880190586901,171.67518032226178,87.58716126357167,True,False,False,False,False,False
1922-09-25,276.8977436303425,189.5449493019242,101.16248049325293,87.35279432841833,175.7352631370896,88.38246880867126,True,False,False,True,True,False
1922-10-02,281.2035454414723,190.40402166630798,101.19959238776524,90.79952377516429,180.00395305370705,89.20442927854275,True,False,False,True,True,False
1922-10-09,285.6669726774854,191.2646465881788,101.21745328793303,94.40232608930657,184.44951938955234,90.04719330024578,True,False,False,True,True,False
1922-10-16,290.265215227758,192.12152466973103,101.21625184252625,98.14369055802698,189.04896338523176,90.90527282720478,True,False,False,False,False,False
1922-10-23,294.9821801652588,192.96787495645322,101.19556395029548,102.01430520880558,193.78661621496332,91.77231100615774,True,False,False,False,False,False
1922-10-30,299.80008290708713,193.79697538854379,101.15604008395762,106.00310751854335,198.6440428231295,92.64093530458616,True,False,False,False,False,False
1922-11-06,304.6980925811188,194.60207135013653,101.09819974193077,110.09602123098225,203.599892839188,93.50387160820576,True,False,False,False,False,False
1922-11-13,309.6616843695711,195.37733375664735,101.0233524870689,114.28435061292376,208.6383318825022,94.35398126957844,True,False,False,False,False,False
1922-11-20,314.6816413806481,196.11577365789702,100.93237203931278,118.56586772275108,213.74926934133532,95.18340161858424,False,False,False,False,False,False
1922-11-27,319.74754233619944,196.81039683568258,100.82709062398487,122.93714550051686,218.92045171221457,95.98330621169771,False,False,False,False,False,False
1922-12-04,324.8452203166497,197.45452542971915,100.70931264923998,127.39069488693056,224.13590766740975,96.74521278047918,False,False,False,False,False,False
1922-12-11,329.9645950993533,198.0424075587417,100.58137697862597,131.9221875406116,229.38321812072732,97.46103058011573,False,False,False,False,False,False
1922-12-18,335.1003584547325,198.56750989547425,100.44529035298824,136.53284855925824,234.65506810174423,98.12221954248601,False,False,False,False,False,False
1922-12-25,340.24665376883183,199.02352161819087,100.30372427629273,141.22313215064096,239.94292949253912,98.71979734189814,False,False,False,False,False,False
1923-01-01,345.3939475603329,199.40513281767792,100.15933140470538,145.98881474265497,245.23461615562752,99.24580141297254,False,False,False,False,False,False
1923-01-08,350.5350575275842,199.708233649266,100.01489075264007,150.82682387831818,250.5201667749441,99.69334289662592,False,False,False,False,False,False
1923-01-15,355.66729076500496,199.92865770525665,99.87287399540114,155.7386330597483,255.79441676960383,100.05578370985552,False,False,False,False,False,False
1923-01-22,0.7879445178369296,200.06301942161872,99.7359905663405,199.27507490378179,98.94804604850357,100.32702885527821,False,False,False,False,False,False
1923-01-29,5.891043732607726,200.10999620255117,99.6069067651234,194.21895246994345,93.71586303251567,100.50308943742778,False,False,True,False,False,False
1923-02-05,10.971541020974112,200.06997480715205,99.48795517579342,189.09843378617794,88.5164141548193,100.58201963135863,False,False,True,False,False,False
1923-02-12,16.028576126152092,199.94421240154557,99.38119891204603,183.91563627539347,83.35262278589394,100.56301348949954,False,False,False,False,False,True
1923-02-19,21.06169290691789,199.73539607778358,99.2885154027036,178.67370317086568,78.22682249578571,100.44688067507998,False,False,False,False,False,True
1923-02-26,26.06766265975648,199.44925875295826,99.2117918307045,173.38159609320178,73.14412917094802,100.23746692225376,False,False,False,False,False,False
1923-03-05,31.043059943602117,199.09338298909262,99.15220720174966,168.0503230454905,68.10914725814754,99.94117578734296,False,False,False,False,False,False
1923-03-12,35.98826241278001,198.67658226750189,99.11082039018028,162.68831985472187,63.12255797740027,99.5657618773216,False,False,False,False,False,False
1923-03-19,40.9043884072884,198.20894674245332,99.0882003878638,157.30455833516493,58.18381198057539,99.12074635458953,False,False,False,False,False,False
1923-03-26,45.79026931186984,197.70344912472083,99.08509873660832,151.91317981285098,53.294829424738474,98.61835038811252,False,False,False,False,False,False
1923-04-02,50.64368588353182,197.17370504375057,99.1013325456999,146.53001916021876,48.45764666216808,98.07237249805067,False,False,False,False,False,False
1923-04-09,55.465792783578266,196.63351336582406,99.13686288539812,141.1677205822458,43.67107010181985,97.49665048042594,False,False,False,False,False,False
1923-04-16,60.25875312866164,196.0964160699168,99.19099083713199,135.8376629412552,38.93223770847035,96.90542523278482,False,False,False,False,False,False
1923-04-23,65.02288775914543,195.57727766911907,99.2634339694604,130.55438990997362,34.24054621031496,96.31384369965868,False,False,False,False,False,False
1923-04-30,69.75681924316261,195.0894072159441,99.35287082144838,125.3325879727815,29.596051578285767,95.73653639449573,False,False,False,False,False,False
1923-05-07,74.46212634649758,194.64468299096114,99.45842377649012,120.18255664446356,24.996297429992538,95.18625921447102,False,False,False,False,False,False
1923-05-14,79.14158817954733,194.253105501069,99.5784757107799,115.11151732152167,20.43688753123257,94.6746297902891,True,False,False,False,False,False
1923-05-21,83.79655823247894,193.9246682029054,99.71203107443917,110.12810997042645,15.915472841960224,94.21263712846623,True,False,False,False,False,False
1923-05-28,88.4261914988543,193.66649018578474,99.85702611501632,105.24029868693044,11.43083461616203,93.80946407076841,True,False,False,False,False,False
1923-06-04,93.03221528455754,193.4838028069884,100.01209091532833,100.45158752243086,6.979875630770792,93.47171189166006,True,False,False,False,False,False
1923-06-11,97.61768829968537,193.37971930941183,100.17509843068976,95.76203100972646,2.5574101310043886,93.20462087872207,True,False,False,False,False,False
1923-06-18,102.18463779927039,193.35731744362093,100.34466279441565,91.17267964435054,1.839975004854736,93.01265464920527,True,False,False,False,True,False
1923-06-25,106.73251035642281,193.41694481083874,100.51836039107451,86.68443445441594,6.214149965348298,92.89858441976423,True,False,False,False,True,False
1923-07-02,111.26294495611222,193.55773348722195,100.69460426232631,82.29478853110973,10.568340693785913,92.86312922489564,True,False,False,False,False,False
1923-07-09,115.77902982591588,193.77743135631007,100.87107037559426,77.99840153039419,14.907959450321627,92.90636098071582,True,False,False,False,False,False
1923-07-16,120.28317269768215,194.07430260927748,101.04631791748434,73.79112991159533,19.236854780197802,93.02798469179314,True,False,False,False,False,False
1923-07-23,124.77493982886506,194.44455751419915,101.21782703529931,69.66961768533409,23.55711279356575,93.22673047889984,True,False,False,False,False,False
1923-07-30,129.2556574469277,194.88394300104747,101.3840244515692,65.62828555411977,27.871632995358496,93.49991854947827,True,False,False,False,False,False
1923-08-06,133.7282597414742,195.38760483548975,101.54276769995954,61.65934509401555,32.185492041514664,93.84483713553021,True,False,False,False,False,False
1923-08-13,138.1952052873769,195.95153292279824,101.69261054584072,57.75632763542134,36.50259474153617,94.25892237695751,True,False,False,False,False,False
1923-08-20,142.65621135806376,196.57020176716605,101.83134681979887,53.9139904091023,40.82486453826489,94.73885494736719,True,False,False,False,False,False
1923-08-27,147.11197343613597,197.2379612973417,101.95762266803068,50.12598786120574,45.15435076810529,95.28033862931103,False,False,False,False,False,False
1923-09-03,151.56515235065743,197.94909209771268,102.06975753238467,46.38393974705525,49.49539481827276,95.87933456532801,False,False,False,False,False,False
1923-09-10,156.0181758858772,198.69867439538842,102.1666477731874,42.68049850951121,53.851528112689806,96.53202662220102,False,False,False,False,False,False
1923-09-17,160.47052027592136,199.48059736632027,102.246701949753,39.01007709039891,58.223818326168356,97.23389541656726,False,False,False,False,False,False
1923-09-24,164.92221299031377,200.28860359586477,102.30908578987878,35.366390605551004,62.61312720043499,97.97951780598599,False,False,False,False,False,False
1923-10-01,169.37551417242105,201.1167224486002,102.3529557771271,31.74120827617915,67.02255839529396,98.7637666714731,False,False,False,False,False,False
1923-10-08,173.83255323595185,201.95951470599888,102.37788914176436,28.126961470047036,71.45466409418749,99.58162556423453,False,False,False,False,False,False
1923-10-15,178.2926479638409,202.81057451068878,102.38331057127542,24.51792654684789,75.90933739256548,100.42726393941336,False,False,False,False,False,False
1923-10-22,182.75490227663545,203.66309037659784,102.36926170021046,20.908188099962388,80.38564057642499,101.29382867638738,False,False,False,False,False,False
1923-10-29,187.22107578100955,204.51101444342834,102.3361049174275,17.28993866241879,84.88497086358204,102.17490952600083,False,False,False,False,False,False
1923-11-05,191.69288211404916,205.34832544169228,102.28442186636318,13.655443327643127,89.40846024768598,103.0639035753291,False,False,True,False,False,False
1923-11-12,196.16943992530264,206.16833724227587,102.21497145119959,9.998897316973228,93.95446847410305,103.95336579107628,False,False,True,False,False,False
1923-11-19,200.64883919498362,206.96383029888273,102.12891696758975,6.314991103899104,98.51992222739388,104.83491333129298,False,False,False,False,False,False
1923-11-26,205.13224993915395,207.72851055900324,102.0279859007847,2.5962606198492892,103.10426403836925,105.70052465821854,False,False,False,False,False,False
1923-12-03,209.62094862839612,208.45605660278542,101.91384025564516,1.1648920256106976,107.70710837275097,106.54221634714027,False,False,False,False,False,False
1923-12-10,214.1138507473292,209.13974865306304,101.78854969891051,4.974102094266158,112.32530104841868,107.35119895415252,False,False,False,False,False,False
1923-12-17,218.60802056861422,209.77231364756256,101.65426259449454,8.835706921051667,116.95375797411968,108.11805105306802,False,False,False,False,False,False
1923-12-24,223.10395423565058,210.34789266081577,101.51377098173135,12.756061574834803,121.59018325391922,108.83412167908442,False,False,False,False,False,False
1923-12-31,227.6025397658255,210.86060335186406,101.36941766483237,16.74193641396144,126.23312210099313,109.49118568703169,False,False,False,False,False,False
1924-01-07,232.10248806401717,211.30469903159425,101.22403437505314,20.797789032422912,130.87845368896404,110.08066465654112,False,False,False,False,False,False
1924-01-14,236.59981573685945,211.67418387557254,101.08011485807226,24.925631861286917,135.5197008787872,110.59406901750027,False,False,False,False,False,False
1924-01-21,241.09417795656003,211.96521864568257,100.94073355941907,29.128959310877462,140.15344439714096,111.0244850862635,False,False,False,False,False,False
1924-01-28,245.5860472110006,212.17428495558653,100.80810538479999,33.41176225541406,144.77794182620062,111.36617957078654,False,False,False,False,False,False
1924-02-04,250.07379403517598,212.29877803078645,100.68492157707317,37.77501600438953,149.3888724581028,111.61385645371328,False,False,False,False,False,False
1924-02-11,254.55213108299577,212.3365273362579,100.57314858507793,42.215603746737884,153.97898249791785,111.76337875117996,False,False,False,False,False,False
1924-02-18,259.019403489403,212.28845123353483,100.47524369383294,46.73095225586815,158.54415979557004,111.81320753970189,False,False,False,False,False,False
1924-02-25,263.47527184953674,212.1563203122716,100.39250355821385,51.31895153726515,163.0827682913229,111.76381675405774,False,False,False,False,False,False
1924-03-03,267.9172191542999,211.9435653313634,100.3267032023141,55.97365382293651,167.59051595198582,111.6168621290493,False,False,False,False,False,False
1924-03-10,272.33777946726843,211.65471371839615,100.27866715444823,60.68306574887228,172.05911231282022,111.37604656394792,False,False,False,False,False,False
1924-03-17,276.73281131181454,211.29789779498586,100.24968711610856,65.43491351682869,176.48312419570598,111.0482106788773,False,False,False,True,False,False
1924-03-24,281.09991942839645,210.88208514807755,100.23978760428996,70.2178342803189,180.86013182410647,110.64229754378759,False,False,False,True,False,False
1924-03-31,285.4342335230821,210.4177818518974,100.2495343775348,75.01645167118474,185.1846991455473,110.16824747436259,False,False,False,False,False,False
1924-04-07,289.7239759343457,209.91629734291368,100.27851073927928,79.807678591432,189.4454651950664,109.6377866036344,False,False,False,False,False,False
1924-04-14,293.95988749100763,209.3917001676408,100.32679843799343,84.56818732336683,193.6330890530142,109.06490172964737,False,False,False,False,False,False
1924-04-21,298.1345858270888,208.85757467285825,100.39328195206281,89.27701115423056,197.741303875026,108.46429272079544,False,False,False,False,True,False
1924-04-28,302.2374426945855,208.3275772133119,100.47746844818636,93.90986548127361,201.75997424639917,107.85010876512555,False,False,False,False,True,False
1924-05-05,306.2477312966966,207.8147479214117,100.57798766509855,98.43298337528489,205.66974363159807,107.23676025631316,False,False,False,False,False,False
1924-05-12,310.14546158015196,207.33297822176436,100.69398275990822,102.8124833583876,209.45147882024372,106.63899546185614,False,False,False,False,False,False
1924-05-19,313.91194477936654,206.89388982889062,100.8235797799336,107.01805495047591,213.08836499943294,106.07031004895703,False,False,False,False,False,False
1924-05-26,317.5233530549848,206.50761021101928,100.96556230482683,111.01574284396551,216.55779075015795,105.54204790619245,False,False,False,False,False,False
1924-06-02,320.94048845219123,206.18260048812627,101.11801367684885,114.75788796406496,219.82247477534239,105.06458681127742,False,False,False,False,False,False
1924-06-09,324.12155895865135,205.9269046200133,101.27947634401079,118.19465433863806,222.84208261464056,104.6474282760025,False,False,False,False,False,False
1924-06-16,327.02490589692917,205.7456911379076,101.4477163742504,121.27921475902156,225.57718952267876,104.29797476365721,False,False,False,False,False,False
1924-06-23,329.6009945357732,205.6423195829545,101.6211120458213,123.95867495281871,227.97988248995193,104.02120753713321,False,False,False,False,False,False
1924-06-30,331.7794174089042,205.61875677393647,101.79756802437704,126.16066063496771,229.98184938452715,103.82118874955943,False,False,False,False,False,False
1924-07-07,333.487869755817,205.67648308630766,101.97523416250975,127.81138666950932,231.5126355933072,103.7012489237979,False,False,False,False,False,False
1924-07-14,334.66385251438464,205.81470906458563,102.15197355222921,128.84914344979902,232.51187896215544,103.66273551235642,False,False,False,False,False,False
1924-07-21,335.25186855526164,206.03136602334968,102.32592770023851,129.22050253191196,232.92594085502313,103.70543832311117,False,False,False,False,False,False
1924-07-28,335.20123226385095,206.32391416596957,102.49511032575691,128.87731809788139,232.70612193809404,103.82880384021266,False,False,False,False,False,False
1924-08-04,334.5111207137886,206.6896345588613,102.65767166075477,127.82148615492733,231.85344905303384,104.03196289810651,False,False,False,False,False,False
1924-08-11,333.2635256339258,207.12440005060986,102.81158847600769,126.13912558331592,230.4519371579181,104.31281157460218,False,False,False,False,False,False
1924-08-18,331.61519061674903,207.62327640093707,102.95515169238806,123.99191421581196,228.66003892436098,104.66812470854902,False,False,False,False,False,False
1924-08-25,329.77518965276704,208.1816678171541,103.08676170312104,121.59352183561293,226.68842794964598,105.09490611403307,False,False,False,False,False,False
1924-09-01,328.00374951392666,208.79488453553182,103.20476056964567,119.20886497839484,224.798988944281,105.59012396588615,False,False,False,False,False,False
1924-09-08,326.56324657241635,209.4574510939287,103.30767521983084,117.10579547848764,223.2555713525855,106.14977587409787,False,False,False,False,False,False
1924-09-15,325.64115630327274,210.1632072688162,103.39416424498175,115.47794903445654,222.24699205829097,106.76904302383444,False,False,False,False,False,False
1924-09-22,325.3306167031549,210.9068595525908,103.46335503479993,114.42375715056409,221.86726166835496,107.44350451779086,False,False,False,False,False,False
1924-09-29,325.66584668970205,211.6828441531526,103.51413454150916,113.98300253654946,222.15171214819287,108.16870961164342,False,False,False,False,False,False
1924-10-06,326.6361325272607,212.4851848460561,103.5459431484839,114.15094768120463,223.0901893787768,108.93924169757219,False,False,False,False,False,False
